CTMT_A,CTMT_B,SUB_A,SUB_B,SUB_NOME_A,SUB_NOME_B,CONJ_A,CONJ_B,CONJ_NOME_A,CONJ_NOME_B,n_ties_campo,n_ties_telecomandadas,chaves,chaves_telecomandadas
CSO002,NIG030,18520821,18519976,SETD COMENDADOR SOARES,SETD NOVA IGUACU,15048,15692,COMENDADOR SOARES,NOVA IGUACU,3,0,134337932;20689339;20689360,
CSO005,CSO010,18520821,18520821,SETD COMENDADOR SOARES,SETD COMENDADOR SOARES,15048,15048,COMENDADOR SOARES,COMENDADOR SOARES,3,0,20661098;20712054;20819405,
CSO005,QMD007,18520821,18520893,SETD COMENDADOR SOARES,SETD QUEIMADOS,15048,15698,COMENDADOR SOARES,QUEIMADOS AEREO,3,0,20671930;20671937;20703297,
CUR33133,CUR33764,10386042,10386042,SETD CURICICA,SETD CURICICA,16901,16901,CURICICA AEREO,CURICICA AEREO,3,0,11075084;11075280;11095645,
CXS001,CXS008,18520785,18520785,SETD CAXIAS,SETD CAXIAS,15700,15700,CAXIAS AEREO,CAXIAS AEREO,3,0,20717059;20775664;32828238,
CXS0025,CXS022,18520785,18520785,SETD CAXIAS,SETD CAXIAS,15700,15700,CAXIAS AEREO,CAXIAS AEREO,3,0,20727629;20727664;366961195,
CXS003,CXS023,18520785,18520785,SETD CAXIAS,SETD CAXIAS,15700,15700,CAXIAS AEREO,CAXIAS AEREO,3,0,20787833;20807600;285598343,
CXS009,CXS021,18520785,18520785,SETD CAXIAS,SETD CAXIAS,15700,15700,CAXIAS AEREO,CAXIAS AEREO,3,0,1566555;20744761;20744803,
CXS012,CXS022,18520785,18520785,SETD CAXIAS,SETD CAXIAS,15700,15700,CAXIAS AEREO,CAXIAS AEREO,3,0,20728819;20728924;24099382,
CXS015,CXS016,18520785,18520785,SETD CAXIAS,SETD CAXIAS,15700,15700,CAXIAS AEREO,CAXIAS AEREO,3,0,20724668;20724689;97392247,
DMC3326,DMC660,1168,1168,SETD DEMOCRATICOS,SETD DEMOCRATICOS,15056,15056,DEMOCRATICOS AEREO,DEMOCRATICOS AEREO,3,0,1621304;1627667;1627695,
DMC3326,DMC772,1168,1168,SETD DEMOCRATICOS,SETD DEMOCRATICOS,15056,15056,DEMOCRATICOS AEREO,DEMOCRATICOS AEREO,3,0,1623936;1624055;34408300,
DMC3523,DMC631,1168,1168,SETD DEMOCRATICOS,SETD DEMOCRATICOS,15056,15056,DEMOCRATICOS AEREO,DEMOCRATICOS AEREO,3,0,1621542;1621598;288917659,
DMC739,DMC9989,1168,1168,SETD DEMOCRATICOS,SETD DEMOCRATICOS,15056,15056,DEMOCRATICOS AEREO,DEMOCRATICOS AEREO,3,0,1597966;1624069;1624146,
DMC772,DMC925,1168,1168,SETD DEMOCRATICOS,SETD DEMOCRATICOS,15056,15056,DEMOCRATICOS AEREO,DEMOCRATICOS AEREO,3,0,1598127;1628885;1629039,
ESP001,ESP008,18519958,18519958,SETD ESPERANCA,SETD ESPERANCA,16899,16899,ESPERANCA AEREO AT/MT,ESPERANCA AEREO AT/MT,3,0,20704165;20704228;92785268,
ESP018,STS002,18519958,18521136,SETD ESPERANCA,SETD SANTISSIMO,15070,15042,ESPERANCA AEREO MT/MT,SANTISSIMO AEREO,3,0,20716485;20716555;20716639,
FTL002,FTL012,18521064,18521064,SETD FONTINELE,SETD FONTINELE,15007,15007,FONTINELE,FONTINELE,3,0,20715337;20715421;20715477,
GDL0005,GDL24956,1258,1258,SETD GUADALUPE,SETD GUADALUPE,15036,15036,GUADALUPE AEREO,GUADALUPE AEREO,3,0,1618217;1618336;1627023,
GDL24813,GDL24956,1258,1258,SETD GUADALUPE,SETD GUADALUPE,15036,15036,GUADALUPE AEREO,GUADALUPE AEREO,3,0,1610783;1618175;1626974,
GDN0013,PDG33434,457474244,10385916,SETD GARDENIA,SETD PORTA DAGUA,16903,16903,GARDENIA,GARDENIA,3,0,131989615;212540174;654178131,
GNB29069,GNB29373,1150,1150,SETD GUANABARA,SETD GUANABARA,15037,15037,GUANABARA AEREO,GUANABARA AEREO,3,0,1583112;1608536;791714844,
GNB29176,GNB29340,1150,1150,SETD GUANABARA,SETD GUANABARA,15037,15037,GUANABARA AEREO,GUANABARA AEREO,3,0,1629613;1629676;469999856,
GNB29224,GNB33417,1150,1150,SETD GUANABARA,SETD GUANABARA,15037,15037,GUANABARA AEREO,GUANABARA AEREO,3,0,1567255;1567276;469944103,
GNB33406,GNB34726,1150,1150,SETD GUANABARA,SETD GUANABARA,15037,15037,GUANABARA AEREO,GUANABARA AEREO,3,0,1613786;1613793;1617902,
GNB33413,GNB33417,1150,1150,SETD GUANABARA,SETD GUANABARA,15037,15037,GUANABARA AEREO,GUANABARA AEREO,3,0,1602880;1602887;1602901,
HMT3022,HMT3816,10386096,10386096,SETD HUMAITA,SETD HUMAITA,15022,15022,HUMAITA AEREO,HUMAITA AEREO,3,0,11180105;11180168;11180175,
ITG0003,ITG0004,310129856,310129856,SETD ITAGUAI,SETD ITAGUAI,15694,15694,ITAGUAI,ITAGUAI,3,0,136115624;266898244;281261315,
ITG0004,ITG0005,310129856,310129856,SETD ITAGUAI,SETD ITAGUAI,15694,15694,ITAGUAI,ITAGUAI,3,0,137425263;213652280;337453063,
ITG0008,ITG0010,310129856,310129856,SETD ITAGUAI,SETD ITAGUAI,15694,15694,ITAGUAI,ITAGUAI,3,0,20719425;20719432;983673880,
ITP0004,ITP33370,10385988,10385988,SETD ITAPEBA,SETD ITAPEBA,15066,15066,ITAPEBA AEREO URBANO,ITAPEBA AEREO URBANO,3,0,11008635;289374652;6983180,
ITP33172,ITP33370,10385988,10385988,SETD ITAPEBA,SETD ITAPEBA,15066,15066,ITAPEBA AEREO URBANO,ITAPEBA AEREO URBANO,3,0,11008754;11008894;773267888,
JAB00020,JAB008,18520749,18520749,SETD JABOATAO,SETD JABOATAO,15029,15029,JABOATAO AEREO,JABOATAO AEREO,3,0,20781145;22363271;460673218,
JAB00022,JAB002,18520749,18520749,SETD JABOATAO,SETD JABOATAO,15029,15029,JABOATAO AEREO,JABOATAO AEREO,3,0,20659264;20713622;20713706,
JDB625,JDB807,10385880,10385880,SETD JARDIM BOTANICO,SETD JARDIM BOTANICO,15071,15071,JARDIM BOTANICO AEREO,JARDIM BOTANICO AEREO,3,0,11100268;11100303;452265566,
JDB807,JDB814,10385880,10385880,SETD JARDIM BOTANICO,SETD JARDIM BOTANICO,15071,15071,JARDIM BOTANICO AEREO,JARDIM BOTANICO AEREO,3,0,11135181;11206584;25927415,
LPD29027,LPD33251,10386033,10386033,SETD LEOPOLDO,SETD LEOPOLDO,15030,15030,LEOPOLDO AEREO,LEOPOLDO AEREO,3,0,11074804;11074853;502672838,
LPD29304,LPD33246,10386033,10386033,SETD LEOPOLDO,SETD LEOPOLDO,15030,15030,LEOPOLDO AEREO,LEOPOLDO AEREO,3,0,11103523;11137211;11137337,
MNB003,MNB004,18520902,18520902,SETD MENA BARRETO,SETD MENA BARRETO,15057,15057,MENA BARRETO AEREO,MENA BARRETO AEREO,3,0,20709667;20709681;20709688,
MRT29629,MRT29825,1312,1312,SETD MERITI,SETD MERITI,14993,14993,MERITI,MERITI,3,0,113000974;1604490;20705103,
MRT29825,MRT9928,1312,1312,SETD MERITI,SETD MERITI,14993,14993,MERITI,MERITI,3,0,1604392;1604476;1604483,
MRT9941,MRT9954,1312,1312,SETD MERITI,SETD MERITI,14993,14993,MERITI,MERITI,3,0,1622669;1622753;685465129,
MRT9954,VGE3947,1312,1267,SETD MERITI,SETD VIGARIO GERAL,14993,15062,MERITI,VIGARIO GERAL AEREO,3,0,1609978;1610139;1629550,
MTC003,MTC009,1276,1276,SETD MATURACA,SETD MATURACA,15031,15031,MATURACA AEREO,MATURACA AEREO,3,0,1585520;1585597;1604756,
MTO00002,PCI0005,29148432,450101398,SETD MATO ALTO,SETD PACIENCIA,16900,16900,PACIENCIA,PACIENCIA,3,0,132234257;488614276;489438892,
NIG003,NIG023,18519976,18519976,SETD NOVA IGUACU,SETD NOVA IGUACU,15692,15692,NOVA IGUACU,NOVA IGUACU,3,0,20682675;20807264;20807292,
NIG005,NIG006,18519976,18519976,SETD NOVA IGUACU,SETD NOVA IGUACU,15692,15692,NOVA IGUACU,NOVA IGUACU,3,0,20673995;20674212;20674219,
NIG008,NIG028,18519976,18519976,SETD NOVA IGUACU,SETD NOVA IGUACU,15692,,NOVA IGUACU,,3,0,20714420;20714427;20714518,
PCI0006,PCI0010,450101398,450101398,SETD PACIENCIA,SETD PACIENCIA,16900,16900,PACIENCIA,PACIENCIA,3,0,20667618;20667625;468866174,
PCI0013,PCI3620,450101398,450101398,SETD PACIENCIA,SETD PACIENCIA,16900,16897,PACIENCIA,COSMOS,3,0,20737863;20737961;470141490,
PDD29568,PDD9870,1231,1231,SETD PIEDADE,SETD PIEDADE,14998,14998,PIEDADE,PIEDADE,3,0,1603643;1603699;1609145,
PDD3984,PDD9873,1231,1231,SETD PIEDADE,SETD PIEDADE,14998,14998,PIEDADE,PIEDADE,3,0,1600171;1600220;1600339,
PDD9873,TER870,1231,1123,SETD PIEDADE,SETD TERRA NOVA,14998,15044,PIEDADE,TERRA NOVA AEREO,3,0,1600514;1600577;1600598,
PDG0005,PDG29724,10385916,10385916,SETD PORTA DAGUA,SETD PORTA DAGUA,16902,16902,PORTA DAGUA AEREO,PORTA DAGUA AEREO,3,0,1007209254;8635474;958798752,
PDG219,PDG280,10385916,10385916,SETD PORTA DAGUA,SETD PORTA DAGUA,16902,16902,PORTA DAGUA AEREO,PORTA DAGUA AEREO,3,0,11103299;11103306;11155497,
PER0001,PER29478,1240,1240,SETD PEDRO ERNESTO,SETD PEDRO ERNESTO,15061,15015,PEDRO ERNESTO AEREO,RAMOS AEREO,3,0,1594249;1594830;278655472,
PER29452,PER29506,1240,1240,SETD PEDRO ERNESTO,SETD PEDRO ERNESTO,15061,15061,PEDRO ERNESTO AEREO,PEDRO ERNESTO AEREO,3,0,1582573;1582685;1620086,
PER29478,PER29500,1240,1240,SETD PEDRO ERNESTO,SETD PEDRO ERNESTO,15015,15015,RAMOS AEREO,RAMOS AEREO,3,0,1590322;1613282;584525207,
PER29506,PER670,1240,1240,SETD PEDRO ERNESTO,SETD PEDRO ERNESTO,15061,15061,PEDRO ERNESTO AEREO,PEDRO ERNESTO AEREO,3,0,1620093;1620100;1620149,
PER616,PER670,1240,1240,SETD PEDRO ERNESTO,SETD PEDRO ERNESTO,15061,15061,PEDRO ERNESTO AEREO,PEDRO ERNESTO AEREO,3,0,1600017;1600087;1600115,
PER667,PER711,1240,1240,SETD PEDRO ERNESTO,SETD PEDRO ERNESTO,15061,15061,PEDRO ERNESTO AEREO,PEDRO ERNESTO AEREO,3,0,1628052;1628115;1628122,
PER794,PER809,1240,1240,SETD PEDRO ERNESTO,SETD PEDRO ERNESTO,15061,15061,PEDRO ERNESTO AEREO,PEDRO ERNESTO AEREO,3,0,1566639;1566730;1566793,
PMG001,PMG008,18520479,18520479,SETD PADRE MIGUEL,SETD PADRE MIGUEL,15019,15019,PADRE MIGUEL,PADRE MIGUEL,3,0,20659803;20767919;20767961,
PMG0017,PMG007,18520479,18520479,SETD PADRE MIGUEL,SETD PADRE MIGUEL,15019,15019,PADRE MIGUEL,PADRE MIGUEL,3,0,20718011;20816486;608528505,
PMG0017,PMG009,18520479,18520479,SETD PADRE MIGUEL,SETD PADRE MIGUEL,15019,15019,PADRE MIGUEL,PADRE MIGUEL,3,0,20698495;20717976;20718039,
PMG006,PMG014,18520479,18520479,SETD PADRE MIGUEL,SETD PADRE MIGUEL,15019,15019,PADRE MIGUEL,PADRE MIGUEL,3,0,20705481;20705523;20705544,
PVN0002,PVN9874,1303,1303,SETD PAVUNA,SETD PAVUNA,14994,14994,PAVUNA,PAVUNA,3,0,1615088;1626134;261410169,
PVN0006,PVN9848,1303,1303,SETD PAVUNA,SETD PAVUNA,15057,14994,MENA BARRETO AEREO,PAVUNA,3,0,1553598;20675164;20708757,
QMD001,QMD005,18520893,18520893,SETD QUEIMADOS,SETD QUEIMADOS,15698,15692,QUEIMADOS AEREO,NOVA IGUACU,3,0,25671250;25671598;25938552,
RCP29399,RCP9958,10386006,10386006,SETD RIO COMPRIDO,SETD RIO COMPRIDO,15058,15058,RIO COMPRIDO AEREO,RIO COMPRIDO AEREO,3,0,11103740;11103747;564527964,
RFR005,RFR007,18520767,18520767,SETD ROCHA FREIRE,SETD ROCHA FREIRE,15693,15693,ROCHA FREIRE AEREO AT/MT,ROCHA FREIRE AEREO AT/MT,3,0,20684180;20695191;483422847,
RFR006,STC00004,18520767,34192093,SETD ROCHA FREIRE,SETD SANTA CLARA,15693,15052,ROCHA FREIRE AEREO AT/MT,SANTA CLARA AEREO,3,0,20704816;20704830;223339559,
ROS002,ROS007,18519985,18519985,SETD ROSALI,SETD ROSALI,14996,14996,ROSALI,ROSALI,3,0,20733894;20733908;20733915,
ROS005,ROS017,18519985,18519985,SETD ROSALI,SETD ROSALI,14996,14996,ROSALI,ROSALI,3,0,20670250;20804674;780520381,
ROS006,ROS016,18519985,18519985,SETD ROSALI,SETD ROSALI,14996,14996,ROSALI,ROSALI,3,0,120493963;20801958;32145081,
ROS007,ROS008,18519985,18519985,SETD ROSALI,SETD ROSALI,14996,14996,ROSALI,ROSALI,3,0,20660223;20691705;20804688,
RTO00014,RTO013,18520875,18520875,SETD RETIRO,SETD RETIRO,14995,14995,RETIRO,RETIRO,3,0,158985367;158985399;20680169,
SCI007,SCI008,18520299,18520299,SETD SANTA CECILIA,SETD SANTA CECILIA,15090,15090,SANTA CECILIA AEREO MT/MT,SANTA CECILIA AEREO MT/MT,3,0,20699454;360985726;93021097,
SJO0004,SJO0005,310718139,310718139,SETD SAO JOAO,SETD SAO JOAO,15699,15699,SAO JOAO,SAO JOAO,3,0,20677131;20677138;270019637,
STC00002,STC00010,34192093,34192093,SETD SANTA CLARA,SETD SANTA CLARA,15052,15052,SANTA CLARA AEREO,SANTA CLARA AEREO,3,0,20667849;220939424;29831366,
STC00004,STC00006,34192093,34192093,SETD SANTA CLARA,SETD SANTA CLARA,15052,15052,SANTA CLARA AEREO,SANTA CLARA AEREO,3,0,139684636;20704816;20780018,
TER29079,TER950,1123,1123,SETD TERRA NOVA,SETD TERRA NOVA,15044,15044,TERRA NOVA AEREO,TERRA NOVA AEREO,3,0,1606233;1606261;727566782,
TER29152,TER822,1123,1123,SETD TERRA NOVA,SETD TERRA NOVA,15044,15044,TERRA NOVA AEREO,TERRA NOVA AEREO,3,0,1609040;1609068;432023649,
TQR00008,TQR33835,10385871,10385871,SETD TAQUARA,SETD TAQUARA,15023,15023,TAQUARA AEREO,TAQUARA AEREO,3,0,11009741;11052815;996277218,
TQR0007,TQR33830,10385871,10385871,SETD TAQUARA,SETD TAQUARA,15023,15023,TAQUARA AEREO,TAQUARA AEREO,3,0,137253951;257936323;270431842,
TQR60088,TQR60096,10385871,10385871,SETD TAQUARA,SETD TAQUARA,15023,15023,TAQUARA AEREO,TAQUARA AEREO,3,0,11052766;11052843;134110575,
TRG636,TRG729,1204,1204,SETD TRIAGEM,SETD TRIAGEM,15024,15024,TRIAGEM AEREO,TRIAGEM AEREO,3,0,1607878;1608032;37645791,
TRS001,TRS007,18520326,18520326,SETD TRES RIOS,SETD TRES RIOS,15087,15087,TRES RIOS AEREO AT/MT,TRES RIOS AEREO AT/MT,3,0,20727538;20770012;20789583,
TRS006,TRS007,18520326,18520326,SETD TRES RIOS,SETD TRES RIOS,15087,15087,TRES RIOS AEREO AT/MT,TRES RIOS AEREO AT/MT,3,0,20727503;20789597;20789625,
TRS013,TRS014,18520326,18520326,SETD TRES RIOS,SETD TRES RIOS,15088,15087,TRES RIOS AEREO MT/MT,TRES RIOS AEREO AT/MT,3,0,142328274;20677684;277023217,
TRV705,TRV779,10385898,10385898,SETD TROVAO,SETD TROVAO,15020,15020,TROVAO AEREO,TROVAO AEREO,3,0,11092166;11092292;375883938,
TRV845,TRV988,10385898,10385898,SETD TROVAO,SETD TROVAO,15020,15020,TROVAO AEREO,TROVAO AEREO,3,0,11025234;11135433;736472904,
TUR001,TUR007,1294,1294,SETD TURIACU,SETD TURIACU,15002,15002,TURIACU,TURIACU,3,0,1581733;1581740;1581747,
TUR002,TUR011,1294,1294,SETD TURIACU,SETD TURIACU,15002,15002,TURIACU,TURIACU,3,0,1587207;1587305;771636122,
TUR008,TUR009,1294,1294,SETD TURIACU,SETD TURIACU,15002,15002,TURIACU,TURIACU,3,0,1619414;1619428;1626610,
VGE3154,VGE3703,1267,1267,SETD VIGARIO GERAL,SETD VIGARIO GERAL,15062,15062,VIGARIO GERAL AEREO,VIGARIO GERAL AEREO,3,0,1594501;1605022;1605106,
VRD002,VRD0022,18520470,18520470,SETD VOLTA REDONDA,SETD VOLTA REDONDA,15084,15084,VOLTA REDONDA AEREO AT/MT,VOLTA REDONDA AEREO AT/MT,3,0,20757724;20757759;680856938,
VRD002,VRD012,18520470,18520470,SETD VOLTA REDONDA,SETD VOLTA REDONDA,15084,15084,VOLTA REDONDA AEREO AT/MT,VOLTA REDONDA AEREO AT/MT,3,0,20724535;488068923;728924114,
VRD004,VRD011,18520470,18520470,SETD VOLTA REDONDA,SETD VOLTA REDONDA,15084,15084,VOLTA REDONDA AEREO AT/MT,VOLTA REDONDA AEREO AT/MT,3,0,20680967;20681184;796872016,
VRD005,VRD009,18520470,18520470,SETD VOLTA REDONDA,SETD VOLTA REDONDA,15084,15084,VOLTA REDONDA AEREO AT/MT,VOLTA REDONDA AEREO AT/MT,3,0,20700189;20700287;33468111,
VRD007,VRD017,18520470,18520470,SETD VOLTA REDONDA,SETD VOLTA REDONDA,14995,15086,RETIRO,VOLTA REDONDA AEREO MT/MT,3,0,1010446941;20737793;542916412,
VTL004,VTL010,18520794,18520794,SETD VILAR DOS TELES,SETD VILAR DOS TELES,15072,15072,VILAR DOS TELES AEREO,VILAR DOS TELES AEREO,3,0,138631831;20716828;20716877,
VTL009,VTL013,18520794,18520794,SETD VILAR DOS TELES,SETD VILAR DOS TELES,15072,15072,VILAR DOS TELES AEREO,VILAR DOS TELES AEREO,3,0,20816717;20816731;20816745,
WLS00013,WLS00014,18519994,18519994,SETD WASHINGTON LUIS,SETD WASHINGTON LUIS,15073,15073,WASHINGTON LUIS AEREO,WASHINGTON LUIS AEREO,3,0,20693581;20693588;20697732,
ZIN004,ZIN006,18520911,18520911,SETD ZONA INDUSTRIAL,SETD ZONA INDUSTRIAL,15696,15696,ZONA INDUSTRIAL,ZONA INDUSTRIAL,3,0,20721273;26598133;26600334,
CUR33764,TQR33839,10386042,10385871,SETD CURICICA,SETD TAQUARA,16901,15023,CURICICA AEREO,TAQUARA AEREO,2,2,269743163;716312276,269743163;716312276
MNB015,MNB017,18520902,18520902,SETD MENA BARRETO,SETD MENA BARRETO,15057,15057,MENA BARRETO AEREO,MENA BARRETO AEREO,2,2,1001992081;762769060,1001992081;762769060
ABR00020,ABR011,18520731,18520731,SETD AREIA BRANCA,SETD AREIA BRANCA,15054,15054,AREIA BRANCA AEREO,AREIA BRANCA AEREO,2,1,132998614;506975587,506975587
ABR008,ABR016,18520731,18520731,SETD AREIA BRANCA,SETD AREIA BRANCA,15054,15054,AREIA BRANCA AEREO,AREIA BRANCA AEREO,2,1,20686966;977524867,977524867
ABR009,NIG016,18520731,18519976,SETD AREIA BRANCA,SETD NOVA IGUACU,15054,15692,AREIA BRANCA AEREO,NOVA IGUACU,2,1,761042895;761042905,761042905
ABR010,CRO0031,18520731,18521055,SETD AREIA BRANCA,SETD COELHO DA ROCHA,15054,15035,AREIA BRANCA AEREO,COELHO DA ROCHA,2,1,741312060;741312070,741312070
ABR016,NIG008,18520731,18519976,SETD AREIA BRANCA,SETD NOVA IGUACU,15054,15692,AREIA BRANCA AEREO,NOVA IGUACU,2,1,741483741;741483750,741483750
ABR016,NIG012,18520731,18519976,SETD AREIA BRANCA,SETD NOVA IGUACU,15054,15692,AREIA BRANCA AEREO,NOVA IGUACU,2,1,1001446742;20687050,1001446742
ABR018,CRO006,18520731,18521055,SETD AREIA BRANCA,SETD COELHO DA ROCHA,15054,15054,AREIA BRANCA AEREO,AREIA BRANCA AEREO,2,1,111309209;20789394,111309209
AFR005,AFR015,18520461,18520461,SETD ARI FRANCO,SETD ARI FRANCO,15010,15010,ARI FRANCO,ARI FRANCO,2,1,20651810;20717941,20651810
AFR006,AFR013,18520461,18520461,SETD ARI FRANCO,SETD ARI FRANCO,15010,15010,ARI FRANCO,ARI FRANCO,2,1,20717801;960554979,960554979
AFR012,AFR015,18520461,18520461,SETD ARI FRANCO,SETD ARI FRANCO,15010,15010,ARI FRANCO,ARI FRANCO,2,1,20717794;782517161,782517161
AGR004,VGE3703,1285,1267,SETD AGUA GRANDE,SETD VIGARIO GERAL,15045,15062,AGUA GRANDE AEREO,VIGARIO GERAL AEREO,2,1,108938823;1613730,108938823
ALC3601,LPD29232,10385889,10386033,SETD ALDEIA CAMPISTA,SETD LEOPOLDO,15033,15030,ALDEIA CAMPISTA,LEOPOLDO AEREO,2,1,494595875;494595884,494595875
ALC651,CBI33795,10385889,1141,SETD ALDEIA CAMPISTA,SETD CACHAMBI,15033,15027,ALDEIA CAMPISTA,CACHAMBI AEREO,2,1,960709546;960709564,960709564
ALC734,LPD29232,10385889,10386033,SETD ALDEIA CAMPISTA,SETD LEOPOLDO,15033,15030,ALDEIA CAMPISTA,LEOPOLDO AEREO,2,1,1008046620;11136420,1008046620
ALC740,URG29662,10385889,10385979,SETD ALDEIA CAMPISTA,SETD URUGUAI,15033,15025,ALDEIA CAMPISTA,URUGUAI AEREO,2,1,770592706;770592715,770592715
ALC9925,ALC9946,10385889,10385889,SETD ALDEIA CAMPISTA,SETD ALDEIA CAMPISTA,15033,15033,ALDEIA CAMPISTA,ALDEIA CAMPISTA,2,1,529355823;974020904,974020904
ALC9925,RCP9882,10385889,10386006,SETD ALDEIA CAMPISTA,SETD RIO COMPRIDO,15033,15058,ALDEIA CAMPISTA,RIO COMPRIDO AEREO,2,1,23313112;746851189,746851189
ALC9925,URG29706,10385889,10385979,SETD ALDEIA CAMPISTA,SETD URUGUAI,15033,15025,ALDEIA CAMPISTA,URUGUAI AEREO,2,1,1009901594;11035887,1009901594
AVD0001,AVD33340,10385943,10385943,SETD ALVORADA,SETD ALVORADA,15004,15004,ALVORADA,ALVORADA,2,1,478850812;542791660,542791660
AVD30081,ITP0003,10385943,10385988,SETD ALVORADA,SETD ITAPEBA,15004,15066,ALVORADA,ITAPEBA AEREO URBANO,2,1,10917728;11214854,10917728
AVD30282,ITP0002,10385943,10385988,SETD ALVORADA,SETD ITAPEBA,15004,15060,ALVORADA,ITAPEBA SUBTERRANEO,2,1,10917784;50755378,10917784
BAR29407,BAR29691,10385907,10385907,SETD BARRA,SETD BARRA,15013,15013,BARRA AEREO,BARRA AEREO,2,1,11061596;993124980,993124980
BAR29407,BRR38521,10385907,345834478,SETD BARRA,SETD BARRA 2,15013,16902,BARRA AEREO,PORTA DAGUA AEREO,2,1,510934545;510934555,510934555
BAR29691,URG29968,10385907,10385979,SETD BARRA,SETD URUGUAI,15013,15025,BARRA AEREO,URUGUAI AEREO,2,1,803639391;814992614,803639391
BMT29811,PDD3800,1195,1231,SETD BOCA DO MATO,SETD PIEDADE,15055,14998,BOCA DO MATO AEREO,PIEDADE,2,1,1619050;848490193,848490193
BMT29953,CBI33798,1195,1141,SETD BOCA DO MATO,SETD CACHAMBI,15055,15027,BOCA DO MATO AEREO,CACHAMBI AEREO,2,1,1553178;799100745,799100745
BPD24650,FCN758,10385961,10386105,SETD BAEPENDI,SETD FREI CANECA,15026,15049,BAEPENDI AEREO,FREI CANECA AEREO,2,1,425702954;701128616,701128616
BPD24650,SMT33668,10385961,10385997,SETD BAEPENDI,SETD SAMARITANO,15026,15078,BAEPENDI AEREO,SAMARITANO AEREO URBANO,2,1,11308416;972865917,972865917
BPN29676,VGE3703,1159,1267,SETD BRAS DE PINA,SETD VIGARIO GERAL,15017,15062,BRAS DE PINA,VIGARIO GERAL AEREO,2,1,936650222;936650306,936650222
BRI001,ITG0007,18521208,310129856,SETD BRISAMAR,SETD ITAGUAI,15006,15694,BRISA MAR,ITAGUAI,2,1,133393159;498954290,498954290
BRR38521,PDG0006,345834478,10385916,SETD BARRA 2,SETD PORTA DAGUA,16902,16902,PORTA DAGUA AEREO,PORTA DAGUA AEREO,2,1,1004924862;11077506,1004924862
CAM009,CAM010,18520488,18520488,SETD CAMARA,SETD CAMARA,14991,14991,CAMARA,CAMARA,2,1,20694617;702279479,702279479
CAM009,JAB009,18520488,18520749,SETD CAMARA,SETD JABOATAO,14991,15029,CAMARA,JABOATAO AEREO,2,1,689865507;689865516,689865516
CAM017,JAB00021,18520488,18520749,SETD CAMARA,SETD JABOATAO,14991,15029,CAMARA,JABOATAO AEREO,2,1,450693963;720043704,720043704
CAM018,PMG010,18520488,18520479,SETD CAMARA,SETD PADRE MIGUEL,14991,15019,CAMARA,PADRE MIGUEL,2,1,20671762;716496929,716496929
CAM019,PMG002,18520488,18520479,SETD CAMARA,SETD PADRE MIGUEL,14991,14991,CAMARA,CAMARA,2,1,647518078;647518087,647518087
CAM019,PMG004,18520488,18520479,SETD CAMARA,SETD PADRE MIGUEL,14991,15019,CAMARA,PADRE MIGUEL,2,1,20680582;502720142,502720142
CBI24854,CBI34677,1141,1141,SETD CACHAMBI,SETD CACHAMBI,15027,15027,CACHAMBI AEREO,CACHAMBI AEREO,2,1,1601697;967592860,967592860
CBI24876,CBI24955,1141,1141,SETD CACHAMBI,SETD CACHAMBI,15027,15027,CACHAMBI AEREO,CACHAMBI AEREO,2,1,1617538;745249531,745249531
CBI24876,TRG282,1141,1204,SETD CACHAMBI,SETD TRIAGEM,15027,,CACHAMBI AEREO,,2,1,799800562;801200485,799800562
CBI24876,TRG959,1141,1204,SETD CACHAMBI,SETD TRIAGEM,15027,15024,CACHAMBI AEREO,TRIAGEM AEREO,2,1,799800562;801200485,799800562
CBI24896,CBI24982,1141,1141,SETD CACHAMBI,SETD CACHAMBI,15027,15027,CACHAMBI AEREO,CACHAMBI AEREO,2,1,139718427;1596545,139718427
CCD00001,VVQ9973,1186,1177,SETD CASCADURA,SETD VILA VALQUEIRE,15034,15032,CASCADURA AEREO,VILA VALQUEIRE,2,1,1584981;745133578,745133578
CCD237,PDG208,1186,10385916,SETD CASCADURA,SETD PORTA DAGUA,15034,,CASCADURA AEREO,,2,1,11100205;653795960,653795960
CCD255,PDG208,1186,10385916,SETD CASCADURA,SETD PORTA DAGUA,,,,,2,1,699260807;7331245,699260807
CCD277,CCD292,1186,1186,SETD CASCADURA,SETD CASCADURA,15034,,CASCADURA AEREO,,2,1,1006565195;489610507,1006565195
CCD3713,TUR008,1186,1294,SETD CASCADURA,SETD TURIACU,15034,15002,CASCADURA AEREO,TURIACU,2,1,1606674;692600816,692600816
CCD803,CCD826,1186,1186,SETD CASCADURA,SETD CASCADURA,15034,15034,CASCADURA AEREO,CASCADURA AEREO,2,1,1589944;740856782,740856782
CCD815,VVQ9951,1186,1177,SETD CASCADURA,SETD VILA VALQUEIRE,15034,15032,CASCADURA AEREO,VILA VALQUEIRE,2,1,1000141341;336211624,1000141341
CCD910,VVQ9892,1186,1177,SETD CASCADURA,SETD VILA VALQUEIRE,15034,15032,CASCADURA AEREO,VILA VALQUEIRE,2,1,106701654;7686287,7686287
CEN005,SRD004,18520353,18521154,SETD CENTENARIO,SETD SEROPEDICA,15089,15043,CENTENARIO AEREO MT/MT,SEROPEDICA AEREO,2,1,870166236;936796275,936796275
